Emotion_value,Text_data
anger,I home filling tax report Nobody time help I would liked quickly I could go meet friend mine returned hospital I got angry brother father refused give calculator I asked nicely I could leave I wait help tax report done
sadness,I tried talk parents phone I wanted go home weekend I knew I would able bear I tried reduce gulf conflict us talking order unite worlds Result hysterical mess blinding blaming
joy,The inflammation ear child got cured doctor said ear completely right
fear,My husband suddenly fell ill seriously medical examinations know would follow
anger,The housing council asked city cut linden trees inhabitants lower floors would view sea
sadness,My child unexpectedly started acting restless disturbing way school In addition performance school weakened
joy,When student mine music performed played remarkably well
anger,My boyfriend came home late one night without told
sadness,The breaking long lasting relationship
joy,When I made girlfriend mine unfriendly terms fault I cried joy evening
fear,While cycling country I came across large herd cows
anger,When I heard stepmother treated mother wrong manner
sadness,When friend pass high school graduation examinations
joy,During lectures I sensed unexpressed understanding boy I know We exchange glances I think likes I like Perhaps fallen love
fear,At night I walk home past forest Once somebody got stabbed forest I imagine someone attacking I hurry
sadness,A relationship I put trust broke I sad I realized easy forget something one regarded great significant
fear,Traveling female railway carriage middle night Italy
joy,After last finished masters thesis I felt great joy relief I haunted thesis whole studies
fear,While preparing masters thesis I scared I would accomplish anything subject rather difficult
anger,During Summer workplace person kept interfering tasks making unfounded remarks I felt hatred stopped I realized longed attention
sadness,The last time I felt sad disappointed I well I hoped one final exams As compared earlier exams questions I think unjust
joy,When I met good friend mine long time
fear,I camping friend mine spent night forest I could fall sleep could clearly hear noises outside steps approaching tent
sadness,Being away close friend I away Finland year exchange student
joy,While discussion colleague mine I realized conception man work similar mine
fear,While drunk life partner tried hit I felt scared fled bathroom
anger,A higher status colleague mine despised attitude organization work
